GPIO1_DR	0x30200000
GPIO2_DR	0x30210000
GPIO3_DR	0x30220000
GPIO4_DR	0x30230000
GPIO5_DR	0x30240000

DSI_HOST_CFG_NUM_LANES			0x30A00000
DSI_HOST_CFG_NONCONTINUOUS_CLK		0x30A00004
DSI_HOST_CFG_T_PRE			0x30A00008
DSI_HOST_CFG_T_POST			0x30A0000C
DSI_HOST_CFG_TX_GAP			0x30A00010
DSI_HOST_CFG_AUTOINSERT_EOTP		0x30A00014
DSI_HOST_CFG_EXTRA_CMDS_AFTER_EOTP	0x30A00018
DSI_HOST_CFG_HTX_TO_COUNT		0x30A0001C
DSI_HOST_CFG_LRX_H_TO_COUNT		0x30A00020
DSI_HOST_CFG_BTA_H_TO_COUNT		0x30A00024
DSI_HOST_CFG_TWAKEUP			0x30A00028
DSI_HOST_CFG_STATUS_OUT			0x30A0002C
DSI_HOST_RX_ERROR_STATUS		0x30A00030
DSI_HOST_CFG_DPI_PIXEL_PAYLOAD_SIZE	0x30A00200
DSI_HOST_CFG_DPI_PIXEL_FIFO_SEND_LEVEL	0x30A00204
DSI_HOST_CFG_DPI_INTERFACE_COLOR_CODING	0x30A00208
DSI_HOST_CFG_DPI_PIXEL_FORMAT		0x30A0020C
DSI_HOST_CFG_DPI_VSYNC_POLARITY		0x30A00210
DSI_HOST_CFG_DPI_HSYNC_POLARITY		0x30A00214
DSI_HOST_CFG_DPI_VIDEO_MODE		0x30A00218
DSI_HOST_CFG_DPI_HFP			0x30A0021C
DSI_HOST_CFG_DPI_HBP			0x30A00220
DSI_HOST_CFG_DPI_HSA			0x30A00224
DSI_HOST_CFG_DPI_ENABLE_MULT_PKTS	0x30A00228
DSI_HOST_CFG_DPI_VBP			0x30A0022C
DSI_HOST_CFG_DPI_VFP			0x30A00230
DSI_HOST_CFG_DPI_BLLP_MODE		0x30A00234
DSI_HOST_CFG_DPI_USE_NULL_PKT_BLLP	0x30A00238
DSI_HOST_CFG_DPI_VACTIVE		0x30A0023C
DSI_HOST_CFG_DPI_VC			0x30A00240
DSI_HOST_TX_PAYLOAD			0x30A00280
DSI_HOST_PKT_CONTROL			0x30A00284
DSI_HOST_SEND_PACKET			0x30A00288
DSI_HOST_PKT_STATUS			0x30A0028C
DSI_HOST_PKT_FIFO_WR_LEVEL		0x30A00290
DSI_HOST_PKT_FIFO_RD_LEVEL		0x30A00294
DSI_HOST_PKT_RX_PAYLOAD			0x30A00298
DSI_HOST_PKT_RX_PKT_HEADER		0x30A0029C
DSI_HOST_IRQ_STATUS			0x30A002A0
DSI_HOST_IRQ_STATUS2			0x30A002A4
DSI_HOST_IRQ_MASK			0x30A002A8
DSI_HOST_IRQ_MASK2			0x30A002AC
DSI_HOST_FSL_IP1_DPHY_INTFC_DPHY_PD_DPHY		0x30A00300
DSI_HOST_FSL_IP1_DPHY_INTFC_DPHY_M_PRG_HS_PREPARE	0x30A00304
DSI_HOST_FSL_IP1_DPHY_INTFC_DPHY_MC_PRG_HS_PREPARE	0x30A00308
DSI_HOST_FSL_IP1_DPHY_INTFC_DPHY_M_PRG_HS_ZERO		0x30A0030C
DSI_HOST_FSL_IP1_DPHY_INTFC_DPHY_MC_PRG_HS_ZERO		0x30A00310
